request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330.00 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,69838.34,affordable_with_plan,full_payment,2023-01-20:71400,2023-02-15,stop:event_6790|reduce_to:event_6789:1425,"Stop the cloud_storage expense and reduce streaming to 1425, then pay INR 71,400.00 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010.00 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,25980.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 June 2026. None of the available options keeps the ZAR 39,000 minimum protected."
request_76,913.47,not_affordable,not_recommended,none,2024-07-08,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,59973.97,affordable_later,wait,2025-11-14:60700,2025-11-14,none,"Wait until 14 November 2025, then pay INR 60,700.00 in full. This leaves at least INR 82,200 available over the next 90 days."
request_78,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 October 2025. None of the available options keeps the INR 55,200 minimum protected."
request_79,613.06,not_affordable,not_recommended,none,,none,"Do not make this payment by 1 November 2024. None of the available options keeps the EUR 1,000 minimum protected."
request_80,126855.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076.00 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,349.42,not_affordable,not_recommended,none,2025-02-21,none,"Do not make this payment by 15 February 2025. None of the available options keeps the USD 1,100 minimum protected."
request_83,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,33822.84,affordable_later,wait,2026-06-13:95400,2026-06-13,none,"Wait until 13 June 2026, then pay INR 95,400.00 in full. This leaves at least INR 91,300 available over the next 90 days."
request_85,360935.71,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300.00 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,10734.0,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-14,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available over the next 90 days."
request_89,9248648.53,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 12,534,700 minimum protected."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560.00 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,287.74,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the EUR 2,100 minimum protected."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034.00 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572.00 today. This leaves at least EUR 600 available over the next 90 days.
request_95,4204.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,74184.55,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-14,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available over the next 90 days."
request_97,1423.54,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available over the next 90 days."
request_98,7551.02,affordable_later,wait,2025-10-13:27148,2025-10-13,none,"Wait until 13 October 2025, then pay ZAR 27,148.00 in full. This leaves at least ZAR 30,000 available over the next 90 days."
request_99,17027.28,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,stop:event_9188,"Stop the streaming expense, then pay ZAR 18,062.00 today. This leaves at least ZAR 49,100 available over the next 90 days."
request_100,28778.43,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available over the next 90 days."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500.00 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available over the next 90 days."
request_103,9261.56,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204.00 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,51296.98,affordable_later,wait,2026-06-14:53500,2026-06-14,none,"Wait until 14 June 2026, then pay INR 53,500.00 in full. This leaves at least INR 73,900 available over the next 90 days."
request_106,458.13,affordable_later,wait,2024-12-15:2207.7,2024-12-15,none,"Wait until 15 December 2024, then pay EUR 2,207.70 in full. This leaves at least EUR 1,200 available over the next 90 days."
request_107,2388.61,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-15,none,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 1,600 available over the next 90 days."
request_108,3636.57,affordable_later,wait,2026-07-21:55308,2026-07-21,none,"Wait until 21 July 2026, then pay ZAR 55,308.00 in full. This leaves at least ZAR 24,100 available over the next 90 days."
request_109,576.75,not_affordable,not_recommended,none,2024-05-16,none,"Do not make this payment by 26 May 2024. None of the available options keeps the EUR 1,700 minimum protected."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available over the next 90 days."
request_111,12475936.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 May 2026. None of the available options keeps the IDR 23,022,800 minimum protected."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,20246.0,affordable_later,wait,2026-10-14:36500,2026-10-14,none,"Wait until 14 October 2026, then pay INR 36,500.00 in full. This leaves at least INR 82,300 available over the next 90 days."
request_114,53445.06,affordable_later,wait,2026-01-14:65300,2026-01-14,none,"Wait until 14 January 2026, then pay INR 65,300.00 in full. This leaves at least INR 113,400 available over the next 90 days."
request_115,14906.53,affordable_later,wait,2024-11-13:80500,2024-11-13,none,"Wait until 13 November 2024, then pay INR 80,500.00 in full. This leaves at least INR 38,800 available over the next 90 days."
request_116,6707.39,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,866.55,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,"Stop the streaming expense, then pay EUR 880.00 today. This leaves at least EUR 1,000 available over the next 90 days."
request_118,596.34,not_affordable,not_recommended,none,2025-02-21,none,Do not make this payment by 8 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_119,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2025. None of the available options keeps the INR 151,200 minimum protected."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000.00 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available over the next 90 days."
request_123,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 March 2026. None of the available options keeps the IDR 18,091,200 minimum protected."
request_124,1402.47,not_affordable,not_recommended,none,2024-07-16,none,"Do not make this payment by 20 August 2024. None of the available options keeps the EUR 1,600 minimum protected."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468.00 today. This leaves at least ZAR 11,300 available over the next 90 days."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600.00 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 October 2024. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168.00 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,120.67,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,303.47,not_affordable,not_recommended,none,2025-02-16,none,"Do not make this payment by 15 February 2025. None of the available options keeps the USD 1,400 minimum protected."
request_131,1120.92,not_affordable,not_recommended,none,2025-07-24,none,"Do not make this payment by 8 July 2025. None of the available options keeps the USD 1,100 minimum protected."
request_132,318.3,affordable_later,wait,2026-01-14:379.86,2026-01-14,none,"Wait until 14 January 2026, then pay USD 379.86 in full. This leaves at least USD 1,100 available over the next 90 days."
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4354481.25,not_affordable,not_recommended,none,2025-10-16,none,"Do not make this payment by 15 October 2025. None of the available options keeps the IDR 15,902,500 minimum protected."
request_135,274.78,affordable_with_plan,full_payment,2026-07-06:304.8,2026-07-15,reduce_to:event_12458:17.5|stop:event_12413,"Reduce dining to 17.5 and stop the streaming expense, then pay USD 304.80 today. This leaves at least USD 500 available over the next 90 days."
request_136,543.33,affordable_with_plan,full_payment,2024-06-03:560.4,2024-06-15,reduce_to:event_12498:27.2,"Reduce shopping to 27.2, then pay USD 560.40 today. This leaves at least USD 1,100 available over the next 90 days."
request_137,24782.16,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 71,800 minimum protected."
request_138,1129.71,affordable_with_plan,partial_payment,2026-04-07:1129.71|2026-04-14:127.23,2026-04-14,none,"Pay EUR 1,129.71 today and the remaining EUR 127.23 on 14 April 2026. This leaves at least EUR 2,300 available over the next 90 days."
request_139,1711.57,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-16,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1,500 available over the next 90 days."
request_140,3277.5,not_affordable,not_recommended,none,2025-02-15,none,"Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,21683.12,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 February 2026. None of the available options keeps the INR 67,300 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,2337.15,not_affordable,not_recommended,none,2025-07-17,none,"Do not make this payment by 15 July 2025. None of the available options keeps the ZAR 11,300 minimum protected."
request_144,199.34,affordable_later,wait,2026-07-15:233.34,2026-07-15,none,"Wait until 15 July 2026, then pay USD 233.34 in full. This leaves at least USD 600 available over the next 90 days."
request_145,15016.4,not_affordable,not_recommended,none,2024-05-23,none,"Do not make this payment by 26 May 2024. None of the available options keeps the INR 155,400 minimum protected."
request_146,12939.76,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. None of the available options keeps the INR 108,600 minimum protected."
request_147,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 7 June 2026. None of the available options keeps the EUR 900 minimum protected.
request_148,7058.61,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-14,none,"Use 3 installments of ZAR 7,710.56, starting 14 June 2024. This leaves at least ZAR 20,000 available over the next 90 days."
request_149,24966.26,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-16,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available over the next 90 days."
request_150,226.65,not_affordable,not_recommended,none,2026-03-15,none,Do not make this payment by 16 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000.00 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,11840.33,not_affordable,not_recommended,none,2025-04-15,none,"Do not make this payment by 13 April 2025. None of the available options keeps the ZAR 11,900 minimum protected."
request_153,2.12,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available over the next 90 days."
request_155,81091.59,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 May 2025. None of the available options keeps the INR 56,300 minimum protected."
request_156,11208.96,affordable_later,wait,2026-06-13:43076,2026-06-13,none,"Wait until 13 June 2026, then pay ZAR 43,076.00 in full. This leaves at least ZAR 26,900 available over the next 90 days."
request_157,3896851.03,not_affordable,not_recommended,none,2024-05-18,none,"Do not make this payment by 15 May 2024. None of the available options keeps the IDR 15,714,100 minimum protected."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available over the next 90 days."
request_159,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,661.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-14,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available over the next 90 days."
request_161,6506361.99,affordable_later,wait,2025-11-15:21204000,2025-11-15,none,"Wait until 15 November 2025, then pay IDR 21,204,000.00 in full. This leaves at least IDR 23,010,400 available over the next 90 days."
request_162,3415382.86,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,8994133.45,not_affordable,not_recommended,none,2024-11-18,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240.00, starting 11 February 2025. This leaves at least IDR 29,550,500 available over the next 90 days."
request_165,62075.52,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 April 2026. None of the available options keeps the INR 95,000 minimum protected."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available over the next 90 days."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802.00 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,31066.7,affordable_with_plan,partial_payment,2026-01-07:31066.7|2026-02-13:18313.3,2026-02-13,none,"Pay INR 31,066.70 today and the remaining INR 18,313.30 on 13 February 2026. This leaves at least INR 114,400 available over the next 90 days."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976.00 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,29937480.2,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-13,none,"Use 3 installments of IDR 12,804,480.00, starting 6 August 2025. This leaves at least IDR 24,715,800 available over the next 90 days."
request_171,36.34,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5,304.00, starting 5 June 2024. This leaves at least ZAR 27,200 available over the next 90 days."
request_173,58854.76,not_affordable,not_recommended,none,2026-01-13,none,"Do not make this payment by 17 January 2026. None of the available options keeps the INR 79,100 minimum protected."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available over the next 90 days."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,403.66,not_affordable,not_recommended,none,2025-03-19,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available over the next 90 days."
request_179,5664043.32,not_affordable,not_recommended,none,2025-07-17,none,"Do not make this payment by 15 July 2025. None of the available options keeps the IDR 41,430,800 minimum protected."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500.00 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,303.55,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 April 2024. None of the available options keeps the USD 2,000 minimum protected."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714.00 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,24324977.86,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-14,none,"Use 3 installments of IDR 9,313,546.67, starting 10 April 2026. This leaves at least IDR 11,878,300 available over the next 90 days."
request_184,7189.82,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the INR 110,800 minimum protected."
request_185,408.4,affordable_later,wait,2026-01-13:1257.3,2026-01-13,none,"Wait until 13 January 2026, then pay EUR 1,257.30 in full. This leaves at least EUR 1,300 available over the next 90 days."
request_186,9843.96,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Wait until 15 March 2026, then pay ZAR 26,554.00 in full. This leaves at least ZAR 22,000 available over the next 90 days."
request_187,37718.15,affordable_later,wait,2024-09-15:187500,2024-09-15,none,"Wait until 15 September 2024, then pay INR 187,500.00 in full. This leaves at least INR 128,300 available over the next 90 days."
request_188,82.85,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
